site,lon,lat,Eh,V,Ni,Ba
19G26,111.8,29.07,33.2,0.08,1.55,126.99
22G-80,111.93,28.94,163.6,0.45,2.77,71.83
19G22,111.95,28.98,-48,0.17,1.18,161.81
22G-83,111.98,29.11,64.8,0.25,0.59,136.21
22G-81,112.03,29.04,143.1,0.97,1.83,124.54
20DT-19G,112.07,29.09,26,0.85369167324573,1.28,173.21
19G21,112.14,28.87,143,0.06,1.16,5.54
20DT-17G,112.14,29,-60.8,0.590868123957716,0.7,258.56
22G-82,112.2,29.08,96.1,0.36,1.04,183.63
22G-90,112.2,29.66,-88.1,0.06,1.8,167.24
22G-88,112.24,29.27,115.5,0.51,2.29,20.98
22G-85,112.26,29.18,90.5,0.310592788968676,4.08,476.34
DT02G,112.26,29.59,-29.3,0.53,2.16,234.38
18S-38G,112.29,29.07,158,0.08,0.71,22.6
18S-25G,112.3,29.77,-88.1,0.02,0.22,112
18S-24G,112.3,29.81,-80,0.14,0.2,153
22G-87,112.31,29.29,40.9,0.55,2.34,421.78
DT01G,112.31,29.32,-29.1,0.24,2.13,240.8
DT03G,112.31,29.62,81.1,0.14,1.59,404.23
18S-23G,112.31,29.84,-103,0.2,1,210
18S-27G,112.32,29.67,97.338639885913,0.26,1.88,125.25
21DT-26G,112.33,29.14,-48.6,0.191895570039916,1.70282289379062,502.1
21DT-23G,112.33,29.21,-31,0.372661490598854,2.26988774767744,904.77
18S-37G,112.35,29.05,-49,0.19,0,65.6
22G-84,112.35,29.18,122.5,0.28,2.35,257.15
18S-22G,112.35,29.85,-120,0.265756644029813,3.79,615
20DT-29G,112.37,28.96,-88.2,0.179396109332021,1.98,274.92
22G-92,112.38,29.53,-35.1,0.1,1.93,111.83
18S-20G,112.38,29.88,-142,0.47,3.3,541
22G-91,112.39,29.66,177.2,1.88,4.19,164.61
18S-35G,112.4,29.25,-104,0.45,0.28,442
20DT-24G,112.41,29.13,-69.4,0.248300805298594,1.56,621.75
21DT-18G,112.42,29.2,-61.7,0.445581073721682,1.58912487707234,324.36
20DT-25G,112.43,29.03,125.8,0.195350034854785,1.12,33.09
22G-86,112.43,29.39,-7.6,0.05,1.47,160.13
20DT-09G,112.44,29.2,-70.2,0.445581073721682,2.26,522.41
22G-89,112.46,29.51,-4,0.25,2,180.92
22G-02,112.46,29.88,-72.7,0.67,5.33,108.08
18G-22,112.48,29.96,-85.5,0.11,1.29,317.78
20DT-28G,112.49,28.99,22.2,0.294513993758966,0.36,176.69
22G-03,112.5,29.95,-88,0.97,4.46,117.86
20DT-26G,112.53,29.1,-33.3,0.203150254033029,0.52,177.53
18S-17G,112.53,29.74,-143,0.39,1.18,495
22G-01,112.53,29.85,-141.1,1.36,8.17,517.61
22G-94,112.56,29.58,-52.2,0.325303984658475,1.48,91.6
22G-77,112.57,29.03,-15.6,0.37,0.44,65.06
20DT-07G,112.57,29.25,-123.3,0.12,3.14,751.55
20DT-06G,112.58,29.29,-113.4,0.12,3.66,942.99
12JH076,112.58,30.29,-90,0.04,2.47,170.86
20DT-01G,112.59,29.52,112.7,0.366350957698295,1.54,94.51
22G-93,112.59,29.6,-47.9,0.228133882414607,1.53,64.15
18G-24,112.59,29.93,-132,0.14,0.88,653.07
12JH079,112.6,30.19,-96.9,0,2.23,371.351488701902
12JH078,112.6,30.25,-16.5,1.09,2.63,170.86
22G-24,112.6,30.36,-72.2,0.7,3.7,170.86
22G-75,112.61,29.18,-49.4,0.12,3.42,350.5
18S-18G,112.61,29.68,-117,0.21,3.15,1752
22G-79,112.62,29.09,-33.2,0.18,0.95,78.11
12JH043,112.62,30.49,-184.3,0,1.47,487.621945603252
22G-76,112.63,28.94,71.2,0.28,0.4,54.89
18G-19,112.63,29.78,-14.3,0.07,0.45,510.65
18G-33,112.63,29.85,-156,0.16,0.75,297.2
12JH089,112.63,29.93,7.2,0,2.93,295.864516141751
21DT-27G,112.64,29.33,99.8,0.146304863768827,3.16835210040836,62.09
18G-25,112.64,29.95,-72,0.07,1.31,58.46
12JH077,112.64,30.34,-143,0,2.05,174.311616787832
12JH040,112.64,30.58,-117.9,0,2.75,256.784499592062
19G18,112.65,28.98,55,0.08,0.49,70.17
22G-71,112.66,29.51,-19.9,0.44,2.04,78.34
22G-25,112.66,30.45,-39.4,0.23,3.78,504.59
20DT-05G,112.67,29.27,-84.7,0.116267618565599,2.11,738.58
22G-72,112.67,29.44,-53.1,0.25,1.33,132.35
18G-26,112.68,29.97,-103,0.07,0.52,34.09
19G14,112.69,29.15,-81,0.06,0.99,120.31
12JH090,112.69,29.97,-133.1,0,2.29,34.1535369354003
22G-28,112.69,30.15,-60.8,0.24,4.41,414.03
12JH028,112.69,30.4,-108.2,0.19,2.98,499.152693233931
22G-78,112.71,29.04,11.9,0.52,0.49,65.09
12JH072,112.71,30.16,-133.4,0,1.97,318.831701906325
12JH073,112.71,30.23,-102,0,1.71,189.851002038713
22G-36,112.71,30.52,-85.5,0.9,5.22,186.79
18G-27,112.72,29.92,-75.6,0.09,0.09,39.12
18G-28,112.72,29.96,-104,0.07,0.8,63.87
19G09,112.73,29.28,-91,0.12,2.35,163.08
22G-06,112.73,29.92,-87.3,0.32,3.09,85.55
22G-29,112.73,30.13,-70.4,0.19,4.23,217.02
18S-15G,112.74,29.71,-113,0.23,0.29,233
12JH082,112.74,30.34,-108.2,0,2.7,361.664612566803
19G19,112.75,28.91,78.5,0.1,0.45,15.27
12JH036,112.76,30.51,-132.8,0.640747389591456,2.1,210.016161131972
22G-22,112.77,29.62,125.8,1.48,1.52,51.14
22G-30,112.77,30.12,-82.9,0.22,3.8,200.33
22G-74,112.78,29.29,-64.1,0.08,4.06,412.63
22G-27,112.78,30.23,-109.1,0.38,4.18,127.58
22G-26,112.78,30.29,-89.4,0.2,4.52,387.56
22G-37,112.78,30.41,-77.2,0.135893867305335,4.57,438.36
19G17,112.79,28.98,120,0.23,1.29,15.9
18G-17,112.79,29.86,-65.9,0.19,0.43,432.14
22G-73,112.81,29.42,-78.5,0.05,3.49,120.7
18S-14G,112.81,29.74,123,0.501931332506098,0.29,18.3
22G-31,112.81,30.18,-75.2,0.92,4.45,237.92
12JH038,112.81,30.46,-74.5,0.11,1.43,272.569642741305
22G-04,112.83,29.79,-119.6,0.75,5.12,407.17
22G-07,112.83,29.92,-102.9,0.63,3.66,184.5
22G-32,112.84,30.2,-53,0.64,4.27,277.26
12JH093,112.85,29.94,-218.5,0.01,2.09,184.509288585422
22G-33,112.85,30.25,-93.5,0.47,4.7,243.01
22G-23,112.87,29.76,-111,0.521377916987859,6.09,316.23
22G-47,112.87,30.36,-71,0.16,2.76,289.25
22G-38,112.88,30.29,-90.5,0.91,5.28,219.31
18S-09G,112.89,29.62,138,0.843078608391515,1.07,94.4
18S-11G,112.9,29.71,-93,0.3,0.72,161
18S-12G,112.9,29.76,-117,0.48,0.93,413
22G-05,112.9,29.85,-95,0.6,4.23,288.83
22G-35,112.91,30.46,87.9,0.804421895944854,6.32,143.49
22G-21,112.92,29.53,-22.4,0.179724910577402,5.05,147.5
18S-10G,112.92,29.67,-112,0.669925787051708,3.77,242
22G-34,112.92,30.42,-75.9,0.92,4.13,235.87
22G-18,112.95,29.64,-21.4,1.09,5.42,175.97
18G-34,112.96,29.56,-148,0.23,0.97,327.15
22G-19,112.96,29.6,-114.8,0.63,4.62,221.74
22G-13,112.96,29.75,-77.5,1.2,5.28,205.88
12JH113,112.96,30.03,-278.3,0.12,2.36,118.568949516286
22G-48,112.96,30.35,-69.9,0.33,3.28,334.83
22G-20,112.97,29.52,-124,0.09,7.03,370.84
22G-08,112.97,29.85,-60.9,0.57,4.06,128.7
12JH109,112.97,29.92,-166.3,0,2.26,140.264002225174
18S-06G,112.98,29.47,-121,0.69,2.95,421
22G-52,112.98,30.09,-75,0.11,3.64,104.32
22G-42,112.98,30.4,-93.8,1.44,4.32,314.24
22G-49,112.99,30.26,-120.4,0.11,4.73,165.58
18G-31,113,29.63,-153,0.27,2.14,732.86
22G-17,113,29.67,-130.9,0.33,5.03,236.84
22G-39,113.01,30.18,-67.6,0.31,3.56,412.14
11JH084,113.01,30.4,-65.0990489783707,0.29,0.77,162.38
22G-43,113.01,30.47,-81.2,0.59,3.85,68.17
12JH163,113.02,29.55,-135.8,0.07,3.62,430.358550184073
22G-09,113.03,29.86,-58.5,0.52,3.64,52.46
18S-03G,113.04,29.45,-164,0.37,0.64,686
18S-04G,113.04,29.49,-37.5,0.12,0.53,304
22G-14,113.04,29.78,-48.5,0.22,4.19,78.96
12JH130,113.05,29.9,-1.9,0.129147808869627,2.27,149.921817478698
22G-51,113.05,30.14,-83.8,0.203252786727869,1.78,0.04
22G-44,113.05,30.41,-61.3,0.42,3.73,260.59
22G-12,113.06,29.96,-86.4,0.09,3.28,180.59
12JH135,113.08,29.85,-116.3,0.492554102271783,1.97,63.6544454599656
22G-50,113.08,30.28,-72.8,0.35,3.01,266.46
22G-53,113.09,30.01,-81.8,0.4,3.77,171.45
22G-45,113.09,30.46,-52.6,0.55,3.46,195.07
18G-35,113.1,29.57,-155,0.42,1.49,546.54
22G-61,113.1,30.12,-94.7,0.21,3.67,241.32
22G-15,113.11,29.69,-104.6,0.6,3.6,155.05
12JH129,113.11,29.92,45.1,0.347472765722308,2.02,96.9377457239276
22G-11,113.12,29.95,-67.8,0.36,4.04,99.79
12JH121,113.13,30.06,-50,0.259440920146769,1.6,203.236354001275
22G-40,113.14,30.2,-70,0.54,4.35,372.7
22G-46,113.14,30.38,-59.5,0.67,4.04,243.38
12JH133,113.15,29.91,-51.6,0.269570533393619,1.92,71.1197060225961
22G-41,113.15,30.26,8.9,0.45438264974831,5.32,850.87
22G-16,113.16,29.53,-97.3,0.320516990312126,0.55,0.01
22G-10,113.16,29.96,-91.6,0.29,2.86,50.68
12JH145,113.17,29.71,-1.6,1.27,2.51,166.341293440982
22G-55,113.2,29.94,-57.8,0.26,3.52,74.12
22G-54,113.2,30.04,-75.7,0.23,3.66,125.7
22G-62,113.22,30.38,-69.1,0.58,4.18,214.95
22G-60,113.23,30.19,-71.5,0.57,2.84,350.95
22G-59,113.24,30.1,-94.4,0.6,3.68,395.58
18G-11,113.26,29.61,-83.2,0.05,0.06,275.26
11JH097,113.27,30.23,-68.7487542966848,0.24,1.27,581.77
12JH148,113.28,29.64,-56.1,0.47,2.45,275.132405576376
22G-56,113.3,30.05,-57.9,0.37,3.43,180.57
11JH077,113.33,30.39,-64.9469701534365,0.12,0.6,227.48
18G-08,113.37,29.73,157,0.4,0.35,192.97
11JH073,113.38,30.24,-77.2457516302206,0.3,1.45,288.87
11JH164,113.39,30.07,-77.5002060879535,0.08,0.59,157.01
11JH071,113.41,30.18,-96.0149262838318,0.12,0.71,182.56
11JH167,113.43,30.06,-97.1348638991901,0.11,0.54,479.49
22G-58,113.46,30.07,-97.5,0.283757094565016,0.31,0.05
11JH070,113.47,30.16,-95.5355604164684,0.28,1.33,555.41
18G-05,113.51,29.84,87.5,0.04,0.31,59.45
22G-57,113.51,30.06,-92.4,0.37,4.66,445.53
11JH050,113.54,30.39,-87.7850128989087,0.15,0.95,253.26
22G-70,113.56,29.88,-50.4,0.0558746079039024,8.39,58.55
22G-64,113.59,30.34,-96,0.8,4.96,241.64
18G-03,113.61,29.94,-42.7,0.07,1.62,289.92
11JH065,113.61,30.13,-58.2914707090197,0.13,0.75,279.69
11JH035,113.61,30.18,-54.3,0.11,1.5,410.02
22G-65,113.61,30.39,-75.9,0.59,3.77,180.72
11JH062,113.63,30.33,-83.0045321545883,0.87,1.32,171.78
11JH162,113.64,30.09,-72.7850979788463,0.09,0.59,100.8
22G-63,113.64,30.34,-81.5,0.34,5.23,325.55
11JH031,113.65,30.17,-54.3,0.11,0.69,279.53
11JH161,113.69,30.09,-54.3,0.08,0.63,213.16
22G-67,113.7,30.15,-54.3,0.47,5.19,136.8
11JH057,113.7,30.39,-81.3825516690635,0.15,0.97,457.99
11JH182,113.72,30.05,-54.3,0.11,0.42,119.42
22G-66,113.75,30.29,-97.3,0.82,4.77,332.1
11JH183,113.77,30.07,-54.8787053098607,0.07,0.44,155.31
11JH185,113.8,30.1,-54.7215238205482,0.36,0.81,101.32
11JH180,113.84,30.06,-61.5239124090912,0.12,0.57,258.18
22G-68,113.87,30.14,-55.6,0.2,4.7,163.95
18G-40,113.95,30.17,-149,0.3,2.15,514.11
22G-69,114,30.13,-99,0.288668959788242,1.38,0.08
